Date,YAHOO/INDEX_IBEX - Adjusted Close_x,YAHOO/INDEX_DJI - Adjusted Close,YAHOO/INDEX_STOXX50E - Adjusted Close,YAHOO/INDEX_N225 - Adjusted Close,YAHOO/INDEX_FCHI - Adjusted Close,YAHOO/INDEX_GDAXI - Adjusted Close,YAHOO/INDEX_IBEX - Adjusted Close_y
2006-01-20,10740.889507,10667.389648,3550.8,15696.69043,4773.47998,5349.02002,10712.189341
2006-01-23,10712.189341,10688.769531,3544.31,15360.650391,4751.990234,5348.720215,10665.588802
2006-01-24,10665.588802,10712.219727,3532.68,15648.889648,4748.319824,5334.299805,10824.088642
2006-01-25,10824.088642,10709.740234,3578.0,15651.0,4791.0,5427.089844,10890.189161
2006-01-26,10890.189161,10809.469727,3641.42,15891.019531,4876.52002,5548.910156,11023.189026
2006-01-27,11023.189026,10907.209961,3685.48,16460.679688,4956.600098,5647.419922,11037.988815
2006-01-30,11037.988815,10899.919922,3677.52,16551.230469,4936.790039,5660.029785,11104.288553
2006-01-31,11104.288553,10864.860352,3691.41,16649.820312,4947.990234,5674.149902,11221.088239
2006-02-01,11221.088239,10953.950195,3728.34,16480.089844,4999.390137,5726.529785,11135.988716
2006-02-02,11135.988716,10851.980469,3677.05,16710.550781,4927.890137,5649.600098,11175.78848
2006-02-03,11175.78848,10793.620117,3678.48,16659.640625,4937.560059,5657.120117,11187.488664
2006-02-06,11187.488664,10798.269531,3682.32,16747.759766,4934.589844,5666.779785,11175.088286
2006-02-07,11175.088286,10749.759766,3680.79,16720.990234,4935.399902,5672.919922,11202.588258
2006-02-08,11202.588258,10858.620117,3671.37,16272.679688,4895.080078,5666.410156,11344.888895
2006-02-09,11344.888895,10883.349609,3726.81,16439.669922,4955.740234,5743.680176,11312.588147
2006-02-10,11312.588147,10919.049805,3695.63,16257.830078,4910.819824,5701.470215,11395.488453
2006-02-13,11395.488453,10892.320312,3727.46,15877.660156,4957.359863,5756.330078,11395.888843
2006-02-14,11395.888843,11028.389648,3734.48,16184.870117,4961.339844,5763.399902,11377.388862
2006-02-15,11377.388862,11058.969727,3729.79,15932.830078,4934.089844,5764.370117,11447.188596
2006-02-16,11447.188596,11120.679688,3756.47,16043.669922,4973.089844,5789.25,11491.288161
2006-02-17,11491.288161,11115.320312,3767.7,15713.450195,5000.0,5795.47998,11535.587921
2006-02-20,11535.587921,,3766.74,15437.929688,4979.939941,5793.950195,11626.888609
2006-02-21,11626.888609,11069.05957,3779.51,15894.94043,4991.930176,5801.040039,11755.287893
2006-02-22,11755.287893,11137.169922,3818.48,15781.780273,5041.600098,5862.060059,11738.988105
2006-02-23,11738.988105,11069.219727,3813.29,16096.099609,5040.390137,5857.879883,11786.888447
2006-02-24,11786.888447,11061.849609,3826.0,16101.910156,5073.950195,5870.790039,11832.787815
2006-02-27,11832.787815,11097.549805,3840.56,16192.950195,5080.52002,5915.149902,11740.688299
2006-02-28,11740.688299,10993.410156,3774.51,16205.429688,5000.450195,5796.040039,11902.188135
2006-03-01,11902.188135,11053.530273,3806.03,15964.459961,5057.609863,5866.609863,11809.587643
2006-03-02,11809.587643,11025.509766,3763.73,15909.759766,5009.089844,5783.490234,11755.688284
2006-03-03,11755.688284,11021.589844,3733.95,15663.339844,4989.149902,5721.459961,11759.087694
2006-03-06,11759.087694,10958.589844,3754.07,15901.160156,5010.720215,5754.060059,11701.287948
2006-03-07,11701.287948,10980.69043,3745.2,15726.019531,4992.209961,5739.279785,11629.188412
2006-03-08,11629.188412,11005.740234,3727.96,15627.490234,4969.509766,5673.359863,11699.587754
2006-03-09,11699.587754,10972.280273,3757.73,16036.910156,5007.839844,5732.220215,11771.787877
2006-03-10,11771.787877,11076.339844,3798.46,16115.629883,5069.27002,5804.919922,11845.388388
2006-03-13,11845.388388,11076.019531,3824.97,16361.509766,5107.470215,5855.160156,11834.988008
2006-03-14,11834.988008,11151.339844,3833.48,16238.360352,5117.160156,5870.879883,11845.688192
2006-03-15,11845.688192,11209.769531,3842.16,16319.040039,5127.930176,5898.47998,11862.48798
2006-03-16,11862.48798,11253.240234,3839.71,16096.209961,5126.009766,5897.790039,11872.88836
2006-03-17,11872.88836,11279.650391,3832.43,16339.730469,5141.080078,5882.379883,11921.98792
2006-03-20,11921.98792,11274.530273,3842.1,16624.800781,5138.509766,5902.790039,11933.388299
2006-03-21,11933.388299,11235.469727,3848.17,,5148.560059,5911.859863,11951.587499
2006-03-22,11951.587499,11317.429688,3868.48,16495.480469,5194.779785,5932.310059,11906.188131
2006-03-23,11906.188131,11270.290039,3860.13,16489.369141,5194.779785,5947.109863,11954.388277
2006-03-24,11954.388277,11279.969727,3870.89,16560.869141,5218.709961,5973.140137,11839.587613
2006-03-27,11839.587613,11250.110352,3827.93,16650.099609,5162.439941,5912.259766,11774.188265
2006-03-28,11774.188265,11154.540039,3811.22,16690.240234,5149.990234,5890.629883,11817.28783
2006-03-29,11817.28783,11215.700195,3826.29,16938.410156,5180.25,5914.779785,11869.787777
2006-03-30,11869.787777,11150.700195,3874.61,17045.339844,5240.100098,5984.189941,11854.287793
2006-03-31,11854.287793,11109.320312,3853.74,17059.660156,5220.850098,5970.080078,11919.987922
2006-04-03,11919.987922,11144.94043,3878.64,17333.310547,5255.259766,6024.049805,11893.787753
2006-04-04,11893.787753,11203.849609,3850.11,17292.910156,5205.810059,6013.850098,11916.388316
2006-04-05,11916.388316,11239.549805,3863.92,17243.980469,5221.029785,6029.200195,11908.188129
2006-04-06,11908.188129,11216.5,3861.29,17489.330078,5222.359863,6031.390137,11816.688222
2006-04-07,11816.688222,11120.040039,3823.11,17563.369141,5174.959961,5952.919922,11817.488026
2006-04-10,11817.488026,11141.330078,3843.52,17456.580078,5190.27002,6003.399902,11674.58778
2006-04-11,11674.58778,11089.629883,3788.81,17418.130859,5112.600098,5908.470215,11601.68844
2006-04-12,11601.68844,11129.969727,3776.94,17162.550781,5085.109863,5901.25,11609.388627
2006-04-13,11609.388627,11137.650391,3779.94,17199.150391,5102.620117,5918.569824,
2006-04-14,,,,17233.820312,,,
2006-04-17,,11073.780273,,17000.359375,,,11584.988261
2006-04-18,11584.988261,11268.769531,3770.79,17232.859375,5095.970215,5902.580078,11720.087734
2006-04-19,11720.087734,11278.769531,3820.96,17350.119141,5158.140137,5993.759766,11782.58767
2006-04-20,11782.58767,11342.889648,3860.0,17317.529297,5206.790039,6063.279785,11913.787733
2006-04-21,11913.787733,11347.450195,3888.46,17403.960938,5252.379883,6094.75,11901.287745
2006-04-24,11901.287745,11336.320312,3862.27,16914.400391,5221.439941,6079.089844,11920.487921
2006-04-25,11920.487921,11283.25,3871.09,16970.289062,5235.339844,6078.799805,11925.587525
2006-04-26,11925.587525,11354.490234,3887.0,17055.929688,5252.319824,6107.120117,11891.287755
2006-04-27,11891.287755,11382.509766,3865.42,17114.539062,5213.549805,6067.740234,11892.48795
2006-04-28,11892.48795,11367.139648,3839.9,16906.230469,5188.399902,6009.890137,
2006-05-01,,11343.290039,3839.9,16925.710938,,,11929.287717
2006-05-02,11929.287717,11416.450195,3862.24,17153.769531,5241.189941,6051.290039,11876.487966
2006-05-03,11876.487966,11400.280273,3821.97,,5193.939941,5968.959961,11928.487913
2006-05-04,11928.487913,11438.860352,3843.08,,5233.700195,6039.319824,12034.388196
2006-05-05,12034.388196,11577.740234,3874.31,,5286.399902,6113.290039,12067.687967
